Folio Vivienda,Fecha,Municipio,AGEB,Centralidad,"En su opinión, ¿Cuál es el principal problema de movilidad en sus traslados en la zona donde vive?","Y con respecto al TRANSPORTE PÚBLICO, ¿Cuál considera que es el principal problema de la zona donde vive?","Incluyéndolo, ¿cuántas personas viven permanentemente en su vivienda contando a los bebés y personas adultas mayores?",Esta casa es?,¿Ingresos mensuales de todas las personas que habitan en la vivienda y aportan gastos al hogar?,¿Cuántos ... tienen en esta vivienda? | Vehículos (autos o camionetas),¿Cuántos ... tienen en esta vivienda? | Motocicletas o motonetas,¿Cuántos ... tienen en esta vivienda? | Bicicletas,¿Dónde estacionan los vehículos?,Persona del hogar que fue el informante principal,¿En su vivienda tienen acceso a internet?,"En su hogar, ¿Estarían dispuestos a participar en este mismo tipo de estudio en el futuro?",Ponderador
2,26-Jan-23,Guadalajara,1403900010859,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249
3,26-Jan-23,Guadalajara,1403900010539,09,Pavimento deteriorado,La distancia a las paradas,3,Prestada,No quiso responder,0,0,0,,,Sí,No,249
9,26-Jan-23,Guadalajara,1403900014283,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,7,Rentada,"$15,001 y $25,000",0,1,0,,Jefe del hogar,Sí,Sí,249
11,26-Jan-23,Guadalajara,1403900014245,09,Vialidades insuficientes,Poca frecuencia de paso en la noche,7,Rentada,No sabe,0,0,0,,Otro parentesco,Sí,No,249
12,26-Jan-23,Guadalajara,1403900014245,09,Pavimento deteriorado,Trato del/de la chofer,4,Propia,"$3,001 y $7,000",0,0,0,,Jefe del hogar,No,No,249
13,26-Jan-23,Guadalajara,1403900010539,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,6,Prestada,"Más de $25,001",0,0,0,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249
14,26-Jan-23,Guadalajara,140390001418A,09,Congestionamiento,El costo del viaje,4,Propia,"$15,001 y $25,000",0,0,0,,Hijo,Sí,Sí,249
15,26-Jan-23,Guadalajara,1403900010859,09,Falta de cruces peatonales,La falta de comodidad de las unidades del transporte,2,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,Sí,No,249
16,26-Jan-23,Guadalajara,1403900014245,09,Congestionamiento,Falta de cubiertas para espera en las paradas,7,Propia,"$7,001 y $10,000",0,0,0,,Hijo,Sí,Sí,249
19,26-Jan-23,Guadalajara,1403900015012,09,Insuficiente transporte público,La distancia a las paradas,5,Propia,"$1,501 y $3,000",0,0,0,,Jefe del hogar,No,No,249
