folio_vivienda,folio_habitante,parentesco,jefe_hogar_asignacion_artificial,jefe_hogar_fuente,edad,sexo_nacimiento,estado_civil,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,tiene_internet,weekend_mode_auto_particular,weekend_mode_camion_autobus,weekend_mode_a_pie,salio_casa_ayer,weekend_dest_visitar,weekend_dest_compras_bienes_servicios,centralidad,ageb,escolaridad,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar
1,1,Jefe del hogar,Jefe del hogar,observado,51.0,Hombres,Casado,5,Propia,"Más de $25,001",2,Sí,Sí,Sí,Sí,Sí,Sí,Sí,30F,1409700251418,Maestría o doctorado,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85,85.0
1,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Jefe del hogar,Jefe del hogar,observado,68.0,Hombres,Soltero,3,Rentada,"$3,001 y $7,000",0,Sí,No,Sí,No,Sí,No,Sí,09,1403900010859,Primaria,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,11.0
2,2,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,Compañero,Compañero,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,Jefe del hogar,Jefe del hogar,observado,25.0,Hombres,Casado,3,Prestada,No quiso responder,0,Sí,Sí,Sí,Sí,Sí,Sí,Sí,09,1403900010539,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
4,1,Jefe del hogar,Jefe del hogar,observado,63.0,Hombres,Casado,3,Rentada,"Más de $25,001",1,Sí,Sí,No,No,Sí,Sí,Sí,09,1403900010539,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
4,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Jefe del hogar,Jefe del hogar,observado,46.0,Hombres,Casado,6,Propia,"$7,001 y $10,000",1,Sí,No,No,No,Sí,No,No,09,1403900010539,Secundaria,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,18.0
5,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,Jefe del hogar,Jefe del hogar,observado,57.0,Hombres,Casado,6,Rentada,"$15,001 y $25,000",1,Sí,No,Sí,No,Sí,Sí,No,09,1403900010825,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
6,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,Sin parentesco,Sin parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,Jefe del hogar,Jefe del hogar,observado,46.0,Hombres,Unión libre,3,Rentada,No quiso responder,3,Sí,Sí,No,No,Sí,Sí,No,09,1403900013209,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
7,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,Jefe del hogar,Jefe del hogar,observado,60.0,Hombres,Casado,4,Propia,"$15,001 y $25,000",1,Sí,Sí,No,Sí,Sí,No,Sí,09,140390001418A,Licenciatura o profesional,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59,59.0
8,2,Cónyuge,Cónyuge,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,Cónyuge,Jefe del hogar,artificial_mayor_edad,61.0,Mujeres,Soltero,7,Rentada,"$15,001 y $25,000",0,Sí,No,Sí,Sí,Sí,No,Sí,09,1403900014283,Carrera técnica con secundaria terminada,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23,23.0
9,2,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,Hijo,Hijo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,Otro parentesco,Otro parentesco,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,Nieto,Nieto,,,,,,,,,,,,,,,,,,,,,,,,,,,,
