folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas
1,2023-01-25 00:00:00+00:00,Tlajomulco,1409700251418,30F,Tiempos excesivos de traslado,La distancia a las paradas,5,Propia,"Más de $25,001",2,0,3,En la cochera de la casa,Jefe del hogar,Sí,No,51,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,85.0,32,43
2,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0
3,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Pavimento deteriorado,La distancia a las paradas,3,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0
4,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Falta de señalamientos,El tiempo de duración de viaje,3,Rentada,"Más de $25,001",1,1,0,"En la calle, afuera de la casa",Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
5,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,6,Propia,"$7,001 y $10,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
6,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Falta de estacionamiento,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
7,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Vialidades insuficientes,Falta de cubiertas para espera en las paradas,3,Rentada,No quiso responder,3,0,0,En la cochera de la casa,Hijo,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43
8,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,El costo del viaje,4,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22
9,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,7,Rentada,"$15,001 y $25,000",0,1,0,,Jefe del hogar,Sí,Sí,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0
10,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,3,Rentada,"$7,001 y $10,000",1,0,1,,Jefe del hogar,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22
