municipio,nombre_municipio,localidad,nombre_localidad,ageb,ab_num_viviendas,ab_probability,c_mas_num_viviendas,c_mas_probability,c_num_viviendas,c_probability,c_menos_num_viviendas,c_menos_probability,d_mas_num_viviendas,d_mas_probability,d_num_viviendas,d_probability,e_num_viviendas,e_probability,nivel_predominante,num_viviendas,tamano_localidad,clave_ageb
39,Guadalajara,1,Guadalajara,0026,198,0.3983903420523139,155,0.3118712273641851,88,0.17706237424547283,35,0.07042253521126761,13,0.026156941649899398,8,0.01609657947686117,0,0.0,A/B,497,"1,000,000 y mas",1403900010026
39,Guadalajara,1,Guadalajara,0030,415,0.29727793696275073,526,0.37679083094555876,235,0.1683381088825215,145,0.10386819484240688,44,0.03151862464183381,31,0.022206303724928367,0,0.0,C+,1396,"1,000,000 y mas",1403900010030
39,Guadalajara,1,Guadalajara,005A,153,0.2756756756756757,175,0.3153153153153153,90,0.16216216216216217,67,0.12072072072072072,46,0.08288288288288288,22,0.03963963963963964,,,C+,555,"1,000,000 y mas",140390001005A
39,Guadalajara,1,Guadalajara,0064,244,0.28143021914648214,262,0.3021914648212226,173,0.19953863898500576,98,0.11303344867358708,49,0.05651672433679354,33,0.03806228373702422,8,0.00922722029988466,C+,867,"1,000,000 y mas",1403900010064
39,Guadalajara,1,Guadalajara,0083,184,0.12026143790849673,326,0.2130718954248366,293,0.19150326797385622,260,0.16993464052287582,184,0.12026143790849673,248,0.16209150326797386,35,0.02287581699346405,C+,1530,"1,000,000 y mas",1403900010083
39,Guadalajara,1,Guadalajara,0115,271,0.2563859981078524,262,0.2478713339640492,165,0.15610217596972564,168,0.15894039735099338,87,0.08230842005676443,98,0.09271523178807947,6,0.005676442762535478,A/B,1057,"1,000,000 y mas",1403900010115
39,Guadalajara,1,Guadalajara,0134,180,0.18090452261306533,223,0.2241206030150754,199,0.2,138,0.13869346733668342,114,0.11457286432160804,123,0.12361809045226131,18,0.018090452261306532,C+,995,"1,000,000 y mas",1403900010134
39,Guadalajara,1,Guadalajara,0149,292,0.27417840375586855,306,0.28732394366197184,203,0.19061032863849764,139,0.13051643192488263,61,0.05727699530516432,54,0.05070422535211268,10,0.009389671361502348,C+,1065,"1,000,000 y mas",1403900010149
39,Guadalajara,1,Guadalajara,0153,290,0.22324865280985373,368,0.28329484218629714,239,0.18398768283294842,180,0.13856812933025403,113,0.0869899923017706,101,0.07775211701308699,8,0.006158583525789068,C+,1299,"1,000,000 y mas",1403900010153
39,Guadalajara,1,Guadalajara,0191,63,0.08289473684210526,143,0.1881578947368421,161,0.2118421052631579,137,0.18026315789473685,113,0.14868421052631578,114,0.15,29,0.038157894736842106,C,760,"1,000,000 y mas",1403900010191
39,Guadalajara,1,Guadalajara,0204,59,0.08702064896755163,97,0.1430678466076696,142,0.20943952802359883,136,0.20058997050147492,97,0.1430678466076696,127,0.1873156342182891,20,0.029498525073746312,C,678,"1,000,000 y mas",1403900010204
39,Guadalajara,1,Guadalajara,0223,56,0.07151979565772669,114,0.14559386973180077,149,0.19029374201787994,139,0.17752234993614305,121,0.1545338441890166,178,0.227330779054917,26,0.033205619412515965,D,783,"1,000,000 y mas",1403900010223
39,Guadalajara,1,Guadalajara,0238,103,0.08408163265306122,178,0.14530612244897959,229,0.18693877551020407,232,0.1893877551020408,184,0.15020408163265306,237,0.19346938775510203,62,0.05061224489795919,D,1225,"1,000,000 y mas",1403900010238
39,Guadalajara,1,Guadalajara,0261,62,0.045689019896831246,151,0.11127487103905674,231,0.17022844509948415,271,0.19970523212969787,240,0.17686072218128224,335,0.2468680913780398,67,0.04937361827560796,D,1357,"1,000,000 y mas",1403900010261
39,Guadalajara,1,Guadalajara,0276,96,0.05390230207748456,200,0.11229646266142616,380,0.2133632790567097,375,0.21055586749017405,300,0.16844469399213924,355,0.19932622122403143,75,0.04211117349803481,C,1781,"1,000,000 y mas",1403900010276
39,Guadalajara,1,Guadalajara,0280,316,0.325437693099897,318,0.3274974253347065,180,0.18537590113285274,103,0.10607621009268794,34,0.035015447991761074,19,0.01956745623069001,,,C+,971,"1,000,000 y mas",1403900010280
39,Guadalajara,1,Guadalajara,0295,395,0.3820116054158607,337,0.32591876208897486,169,0.16344294003868473,71,0.06866537717601548,33,0.031914893617021274,27,0.02611218568665377,,,A/B,1034,"1,000,000 y mas",1403900010295
39,Guadalajara,1,Guadalajara,0308,61,0.3465909090909091,61,0.3465909090909091,33,0.1875,10,0.056818181818181816,8,0.045454545454545456,3,0.017045454545454544,0,0.0,C+,176,"1,000,000 y mas",1403900010308
39,Guadalajara,1,Guadalajara,0312,183,0.22344322344322345,266,0.3247863247863248,151,0.18437118437118438,95,0.115995115995116,69,0.08424908424908426,49,0.05982905982905983,6,0.007326007326007326,C+,819,"1,000,000 y mas",1403900010312
39,Guadalajara,1,Guadalajara,0327,140,0.30501089324618735,153,0.3333333333333333,79,0.1721132897603486,47,0.10239651416122005,21,0.0457516339869281,17,0.037037037037037035,,,C+,459,"1,000,000 y mas",1403900010327
39,Guadalajara,1,Guadalajara,0346,108,0.10619469026548672,174,0.1710914454277286,208,0.20452310717797442,193,0.18977384464110128,153,0.1504424778761062,155,0.15240904621435594,26,0.025565388397246803,C,1017,"1,000,000 y mas",1403900010346
39,Guadalajara,1,Guadalajara,0350,176,0.14012738853503184,345,0.2746815286624204,254,0.20222929936305734,207,0.16480891719745222,113,0.08996815286624203,133,0.10589171974522293,28,0.022292993630573247,C+,1256,"1,000,000 y mas",1403900010350
39,Guadalajara,1,Guadalajara,0365,262,0.3442838370565046,190,0.24967148488830487,141,0.18528252299605782,74,0.09724047306176084,44,0.05781865965834428,46,0.06044678055190539,4,0.005256241787122208,A/B,761,"1,000,000 y mas",1403900010365
39,Guadalajara,1,Guadalajara,037A,154,0.24213836477987422,204,0.32075471698113206,138,0.2169811320754717,68,0.1069182389937107,34,0.05345911949685535,35,0.055031446540880505,3,0.0047169811320754715,C+,636,"1,000,000 y mas",140390001037A
39,Guadalajara,1,Guadalajara,0384,234,0.29923273657289,225,0.2877237851662404,130,0.16624040920716113,105,0.13427109974424553,56,0.07161125319693094,30,0.03836317135549872,,,A/B,782,"1,000,000 y mas",1403900010384
39,Guadalajara,1,Guadalajara,0399,273,0.2367736339982654,308,0.26712922810060713,218,0.18907198612315698,159,0.13790112749349523,104,0.09019947961838681,81,0.07025151777970512,10,0.008673026886383347,C+,1153,"1,000,000 y mas",1403900010399
39,Guadalajara,1,Guadalajara,0401,178,0.27342549923195086,172,0.2642089093701997,125,0.19201228878648233,78,0.11981566820276497,42,0.06451612903225806,54,0.08294930875576037,,,A/B,651,"1,000,000 y mas",1403900010401
39,Guadalajara,1,Guadalajara,0416,112,0.2,152,0.2714285714285714,110,0.19642857142857142,71,0.12678571428571428,51,0.09107142857142857,59,0.10535714285714286,5,0.008928571428571428,C+,560,"1,000,000 y mas",1403900010416
39,Guadalajara,1,Guadalajara,0435,345,0.16046511627906976,476,0.2213953488372093,407,0.18930232558139534,375,0.1744186046511628,253,0.11767441860465117,255,0.1186046511627907,39,0.01813953488372093,C+,2150,"1,000,000 y mas",1403900010435
39,Guadalajara,1,Guadalajara,044A,183,0.09360613810741689,362,0.18516624040920715,406,0.20767263427109975,320,0.1636828644501279,287,0.14680306905370843,347,0.1774936061381074,50,0.02557544757033248,C,1955,"1,000,000 y mas",140390001044A
39,Guadalajara,1,Guadalajara,0454,195,0.09898477157360407,376,0.19086294416243654,393,0.19949238578680203,324,0.16446700507614212,279,0.1416243654822335,336,0.17055837563451776,67,0.03401015228426396,C,1970,"1,000,000 y mas",1403900010454
39,Guadalajara,1,Guadalajara,0469,194,0.11707905853952927,307,0.18527459263729631,326,0.19674109837054918,263,0.1587205793602897,205,0.12371756185878093,320,0.19312009656004828,42,0.025347012673506336,C,1657,"1,000,000 y mas",1403900010469
39,Guadalajara,1,Guadalajara,0473,129,0.07752403846153846,248,0.14903846153846154,341,0.2049278846153846,284,0.17067307692307693,268,0.16105769230769232,329,0.19771634615384615,65,0.0390625,C,1664,"1,000,000 y mas",1403900010473
39,Guadalajara,1,Guadalajara,0492,114,0.07676767676767676,239,0.16094276094276094,279,0.18787878787878787,272,0.18316498316498317,223,0.15016835016835017,295,0.19865319865319866,63,0.04242424242424243,D,1485,"1,000,000 y mas",1403900010492
39,Guadalajara,1,Guadalajara,0505,173,0.12824314306893997,266,0.19718309859154928,281,0.20830244625648628,255,0.18902891030392885,179,0.13269088213491476,169,0.12527798369162343,26,0.01927353595255745,C,1349,"1,000,000 y mas",1403900010505
39,Guadalajara,1,Guadalajara,051A,138,0.07194994786235662,295,0.15380604796663191,339,0.1767466110531804,365,0.1903023983315954,305,0.15901981230448384,394,0.205422314911366,82,0.04275286757038582,D,1918,"1,000,000 y mas",140390001051A
39,Guadalajara,1,Guadalajara,0524,78,0.05245460659045057,184,0.12373907195696032,240,0.16139878950907868,291,0.1956960322797579,277,0.1862811028917283,332,0.22326832548755884,85,0.05716207128446537,D,1487,"1,000,000 y mas",1403900010524
39,Guadalajara,1,Guadalajara,0539,104,0.0939476061427281,175,0.15808491418247517,196,0.17705510388437218,192,0.17344173441734417,175,0.15808491418247517,221,0.1996386630532972,44,0.03974706413730804,D,1107,"1,000,000 y mas",1403900010539
39,Guadalajara,1,Guadalajara,0543,88,0.08888888888888889,144,0.14545454545454545,183,0.18484848484848485,178,0.1797979797979798,158,0.1595959595959596,196,0.19797979797979798,43,0.043434343434343436,D,990,"1,000,000 y mas",1403900010543
39,Guadalajara,1,Guadalajara,0562,336,0.3916083916083916,239,0.27855477855477856,157,0.18298368298368298,65,0.07575757575757576,42,0.04895104895104895,19,0.022144522144522144,0,0.0,A/B,858,"1,000,000 y mas",1403900010562
39,Guadalajara,1,Guadalajara,0577,145,0.2607913669064748,214,0.38489208633093525,109,0.1960431654676259,43,0.07733812949640288,23,0.04136690647482014,22,0.039568345323741004,0,0.0,C+,556,"1,000,000 y mas",1403900010577
39,Guadalajara,1,Guadalajara,0596,232,0.34782608695652173,229,0.34332833583208394,113,0.16941529235382308,57,0.08545727136431784,21,0.031484257871064465,15,0.022488755622188907,0,0.0,A/B,667,"1,000,000 y mas",1403900010596
