folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas,ingreso_hogar,educacion_jefe,edad_jefe,sexo_jefe,prob_workers_0,prob_workers_1,prob_workers_2,prob_workers_3,prob_workers_4_mas,prob_bathrooms_0,prob_bathrooms_1,prob_bathrooms_2_mas,prob_rooms_1,prob_rooms_2,prob_rooms_3,prob_rooms_4_mas,modelo_puntos_14_anos_trabajo_mes,modelo_puntos_banos_completos,modelo_puntos_cuartos_dormir
1,2023-01-25 00:00:00+00:00,Tlajomulco,1409700251418,30F,Tiempos excesivos de traslado,La distancia a las paradas,5,Propia,"Más de $25,001",2,0,3,En la cochera de la casa,Jefe del hogar,Sí,No,51,Posgrado,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.0,85.0,32,43,"Más de $25,001",85.0,51,Hombres,0.005680200278616429,0.15794926164575285,0.3668207410363024,0.2315394341643355,0.23801036287499272,0.0015197364394539223,0.2764856837303173,0.7219945798302287,0.010185201383729648,0.11645096587584178,0.47090463313840625,0.40245919960202226,38.910128003745655,40.56940166154836,26.12510264766977
2,2023-01-26 00:00:00+00:00,Guadalajara,1403900010859,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,3,Rentada,"$3,001 y $7,000",0,0,0,,Jefe del hogar,Sí,No,249,Primaria Completa,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,32,0,"$3,001 y $7,000",11.0,68,Hombres,0.11051896664534136,0.4352881417984332,0.3087258234875299,0.14022177388343862,0.005245294185257042,0.22998942257825286,0.7040639154513193,0.06594666197042784,0.20476299702298137,0.6208977649145043,0.15391390984686992,0.0204253282156445,22.869987199028785,19.997027083441772,15.920012554041422
3,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Pavimento deteriorado,La distancia a las paradas,3,Prestada,No quiso responder,0,0,0,,,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,0,,18.0,25,Hombres,0.029920801882249545,0.5610422644302026,0.36511009418845,0.0383126441124882,0.005614195386609371,0.3052229520142897,0.623315170404345,0.07146187758136531,0.5935592341083065,0.30649202943450743,0.08335572921348768,0.016593007243698422,21.838894434052616,18.31827233602845,12.183860076740626
4,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Falta de señalamientos,El tiempo de duración de viaje,3,Rentada,"Más de $25,001",1,1,0,"En la calle, afuera de la casa",Cónyuge,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"Más de $25,001",18.0,63,Hombres,0.04516650346586354,0.26565236982153506,0.38110803815061073,0.26816989396996943,0.03990319459202119,0.014171695690695709,0.6585214420463834,0.32730686226292083,0.061466302563121085,0.5058508768416463,0.38509911902407007,0.04758370157116259,30.569044722723845,31.18793713547048,19.35040175682619
5,2023-01-26 00:00:00+00:00,Guadalajara,1403900010539,09,Congestionamiento,El sobrecupo de personas en las unidades del transporte,6,Propia,"$7,001 y $10,000",1,0,1,"En la calle, afuera de la casa",Jefe del hogar,Sí,No,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$7,001 y $10,000",18.0,46,Hombres,0.01091319269479072,0.3367679954657756,0.30366069512114735,0.18191932074374934,0.16673879597453842,0.319898551918044,0.5819801148128191,0.09812133326913693,0.06720708652840979,0.4287218913204835,0.36046619697787063,0.143604825173236,33.00435678940152,18.579225419157094,20.64375008636746
6,2023-01-26 00:00:00+00:00,Guadalajara,1403900010825,09,Falta de estacionamiento,El sobrecupo de personas en las unidades del transporte,6,Rentada,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$15,001 y $25,000",59.0,57,Hombres,0.013226346894600937,0.2787458695407218,0.417933333687589,0.20626758456388128,0.08382686531320703,0.010869196883335836,0.7086220995603983,0.2805087035562659,0.04887119501387396,0.4108210980602391,0.44373736604288794,0.09657034088299896,31.73886906147025,30.19083945659406,20.704054822360092
7,2023-01-26 00:00:00+00:00,Guadalajara,1403900013209,09,Vialidades insuficientes,Falta de cubiertas para espera en las paradas,3,Rentada,No quiso responder,3,0,0,En la cochera de la casa,Hijo,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,,59.0,46,Hombres,0.007168107546785241,0.32068706859775653,0.5305017053612257,0.13200192378308995,0.009641194711142144,0.009380625569107863,0.4144751969815509,0.5761441774493413,0.12567946660320503,0.39222347265832985,0.42169801958279546,0.06039904115566982,27.916060266566156,37.02618106767626,19.334533082327443
8,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Pavimento deteriorado,El costo del viaje,4,Propia,"$15,001 y $25,000",1,0,0,En la cochera de la casa,Cónyuge,Sí,Sí,249,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,22,"$15,001 y $25,000",59.0,60,Hombres,0.10383632415132084,0.3914375068556386,0.3546122722284673,0.1317994401686313,0.01831445659594195,0.01465975359826764,0.5667696594668353,0.418570586934897,0.04309674468036616,0.37775444463298186,0.5170215274581527,0.06212728322849939,24.044499142026567,33.27528941314421,20.78543479387828
9,2023-01-26 00:00:00+00:00,Guadalajara,1403900014283,09,Pavimento deteriorado,Poca frecuencia de paso en la noche,7,Rentada,"$15,001 y $25,000",0,1,0,,Jefe del hogar,Sí,Sí,249,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,0,"$15,001 y $25,000",23.0,61,Mujeres,0.01886978231985619,0.12872897983719409,0.279942246476824,0.31122400356283647,0.26123498780328985,0.1272105274229798,0.7272491654766805,0.14554030710033972,0.08656954968114733,0.4347966391265282,0.3671123925775475,0.11152141861477696,40.86078275823061,24.2943744051563,20.028685441007635
10,2023-01-26 00:00:00+00:00,Guadalajara,140390001418A,09,Falta de señalamientos,Falta de cubiertas para espera en las paradas,3,Rentada,"$7,001 y $10,000",1,0,1,,Jefe del hogar,Sí,Sí,249,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,"$7,001 y $10,000",18.0,45,Mujeres,0.08887284060113265,0.5650455250865544,0.23326509188138914,0.09440456891530771,0.018411973515615986,0.08357225451192558,0.8416810663624609,0.07474667912561354,0.19661886752332228,0.6377993926915952,0.14902196131764006,0.01655977846744246,21.17264127917811,23.7134395116029,15.884181205833622
