folio_vivienda,fecha,municipio,ageb,centralidad,problema_movilidad_principal,problema_tp_principal,personas_en_vivienda,tenencia_vivienda,ingreso_mensual_hogar,n_autos_camionetas,n_motos,n_bicicletas,donde_estacionan,informante_principal,tiene_internet,dispuesto_participar_futuro,ponderador,ultimo_estudio_jefe_hogar,prob_education_no_estudio,prob_education_primaria_completa,prob_education_secundaria_completa,prob_education_carrera_tecnica,prob_education_preparatoria_completa,prob_education_licenciatura_completa,prob_education_posgrado,puntos_ultimo_estudio_jefe_hogar,modelo_puntos_ultimo_estudio_jefe_hogar,puntos_internet,puntos_numero_autos_camionetas,ingreso_hogar,educacion_jefe,edad_jefe,sexo_jefe,prob_workers_0,prob_workers_1,prob_workers_2,prob_workers_3,prob_workers_4_mas,prob_bathrooms_0,prob_bathrooms_1,prob_bathrooms_2_mas,prob_rooms_1,prob_rooms_2,prob_rooms_3,prob_rooms_4_mas,modelo_puntos_14_anos_trabajo_mes,modelo_puntos_banos_completos,modelo_puntos_cuartos_dormir,puntos_amai_total,nivel_socioeconomico_amai,prob_nse_micro_e,prob_nse_micro_d,prob_nse_micro_d_mas,prob_nse_micro_c_menos,prob_nse_micro_c,prob_nse_micro_c_mas,prob_nse_micro_ab,nse_micro_probability_sum,municipio_nse_ageb,localidad,ageb_nse_ageb,e_probability,d_probability,d_mas_probability,c_menos_probability,c_probability,c_mas_probability,ab_probability,nivel_socioeconomico_amai_calibrado
11918,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,,,3,Propia,No quiso responder,1,0,0,,Hijo,No,No,75,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,0,22,,18.0,81,Hombres,0.2221068720675277,0.4677883810951289,0.231379910103509,0.0750935186010909,0.0036313181327434,0.0693134135470491,0.6406608382975783,0.2900257481553726,0.1142243735320237,0.5106456708135582,0.3196509003221524,0.0554790553322656,17.865415191383246,29.00707028244439,18.53107709963728,105.40356257346491,D+,0.0,0.22706812711265517,0.452690537630109,0.26750581033646403,0.0523404471452869,0.0003950777754845323,0.0,0.9999999999999997,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,C-
11883,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,,,2,Propia,No quiso responder,1,0,0,En la cochera de la casa,Cónyuge,Sí,No,75,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22,,23.0,78,Hombres,0.5769837994719063,0.3171039827465573,0.1035036679437064,0.0014167421155037,0.0009918077223269,0.0148446372952884,0.5151591220622723,0.4699962406424392,0.192079009527112,0.4801871339507441,0.2438286408936452,0.0839052156284986,8.09084385582838,34.453642239689174,17.756480500988246,137.30096659650582,C-,0.0,0.005758036983051933,0.06306490281209015,0.585437982097139,0.29204826515305327,0.05348217174296883,0.00020864121169738512,1.0000000000000007,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,C
11873,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,Falta de señalamientos,Poca frecuencia de paso en la noche,2,Propia,No quiso responder,1,0,0,,Cónyuge,Sí,No,75,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,22,,23.0,57,Hombres,0.1576655261289949,0.4474990353534857,0.3918704670287741,0.0023074541990782,0.0006575172896667,0.0402209070710612,0.6563460876277476,0.3034330053011912,0.2222779116596916,0.496510056129873,0.2150178647293693,0.0661941674810658,19.006721456021555,30.013657352221937,17.001026304254474,143.02140511249797,C,0.0,0.004558158299579607,0.03772264409916051,0.46720073095875586,0.38729519507402405,0.1031208199075637,0.00010245166091557102,0.9999999999999993,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,C
11898,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,,,3,Propia,No sabe,1,1,1,En la cochera de la casa,Jefe del hogar,Sí,No,75,Secundaria Completa,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,18.0,32,22,,18.0,73,Mujeres,0.0626011811914266,0.3711850274907274,0.3805013761210512,0.158445824390872,0.0272665908059235,0.0362167779720565,0.5166746942524358,0.4471085277755076,0.0493573262922498,0.4388123795320867,0.426223212406768,0.0856070817688954,26.315088033254952,33.41429346750731,20.384640397218472,152.11402189798073,C,0.0,0.0011067847423038954,0.02992247637061924,0.23233845187953228,0.5461225109231189,0.18426998884977122,0.006239787234655153,1.0000000000000007,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,C+
11887,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,,,4,Propia,No quiso responder,2,0,1,En la cochera de la casa,Hijo,Sí,No,75,Carrera técnica,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,23.0,32,43,,23.0,61,Hombres,0.0300629992247089,0.2190513696672389,0.3254064315473664,0.3349335051156469,0.0905456944450391,0.0270977315779111,0.4988746694687137,0.4740275989533752,0.0337730444452398,0.3177341682822334,0.5122043202329944,0.1362884670395322,34.30359851944409,34.25228921805777,22.008065678934553,188.5639534164364,C+,0.0,0.0,0.00028635151359116386,0.011224694259210903,0.1272054803288365,0.6146409043871592,0.24664256951120225,1.0,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,C+
11874,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,,,3,Propia,"Más de $25,001",2,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,75,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,"Más de $25,001",59.0,41,Hombres,0.0103571865388691,0.1972989682108058,0.7071861420227729,0.0776901137711909,0.0074675894563607,0.0047539721722298,0.4115004894540829,0.5837455383736871,0.0566388083998034,0.4847536970160667,0.3682023142487226,0.0904051803354072,28.911523116180835,37.31205205046129,19.93899093215787,220.1625660988,A/B,0.0,0.0,0.0,0.0,0.0007984328205548168,0.10161694844136106,0.8975846187380832,0.999999999999999,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,C+
11875,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,,,3,Propia,No quiso responder,2,0,0,En la cochera de la casa,Hijo,Sí,No,75,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,,59.0,73,Mujeres,0.0912733728408426,0.4569949212786954,0.3728482679646379,0.0748978874639466,0.0039855504518772,0.0037038877010391,0.2076148918103768,0.788681220488584,0.0287413318683488,0.2868294801326547,0.555920662823253,0.1285085251757434,22.10164152699026,42.050774766412495,22.27357105045113,220.42598734385388,A/B,0.0,0.0,0.0,0.0,0.0014168596860040625,0.12865969088900558,0.86992344942499,0.9999999999999997,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,A/B
11872,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,Falta de señalamientos,Conducción del/ de la chofer,3,Propia,"Más de $25,001",2,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,75,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,"Más de $25,001",59.0,56,Hombres,0.0273907802189352,0.2574365736784645,0.5615725420672678,0.1412800998859195,0.012320004149413,0.002918601930228,0.3266296886161883,0.6704517094535837,0.0262014783642878,0.3203218497696037,0.5248999831383903,0.1285766887277182,28.52070225712876,39.35034287110695,22.046815057836312,223.91786018607203,A/B,0.0,0.0,0.0,0.0,0.0005747200250982793,0.09542964676767621,0.9039956332072259,1.0000000000000004,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,A/B
11907,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,Falta de estacionamiento,Falta de información de rutas,4,Propia,No quiso responder,2,0,0,En la cochera de la casa,Jefe del hogar,Sí,No,75,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,,59.0,80,Mujeres,0.0790895134635922,0.2993436795057185,0.4222397962996056,0.1615400105092171,0.0377870002218661,0.0040564675668957,0.2066111768724824,0.7893323555606216,0.0187769728312856,0.1755370435981916,0.6507258755116199,0.1549601080589027,27.31543637483138,42.0572889562888,23.53495295038512,226.9076782815053,A/B,0.0,0.0,0.0,0.0,0.0008636056016704839,0.08488493351362902,0.9142514608846994,0.9999999999999989,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,A/B
11871,2023-03-27 00:00:00+00:00,Guadalajara,1403900010026,69A,Vialidades insuficientes,La falta de comodidad de las unidades del transporte,4,Propia,No quiso responder,2,0,1,En la cochera de la casa,Otro parentesco,Sí,No,75,Licenciatura Completa,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,59.0,32,43,,59.0,69,Hombres,0.0403653372353064,0.2496886314736697,0.40765213477049,0.2401419661603338,0.0621519303601999,0.0054379589661734,0.2468932241640156,0.747668816869811,0.0207132622997834,0.1876275630961104,0.6519098578498159,0.13974931675429,31.22034384533779,41.065871772817495,23.285561832468897,229.57177745062418,A/B,0.0,0.0,0.0,0.0,0.0007088163837910824,0.07472708669431155,0.9245640969218968,0.9999999999999994,39,1,0026,0.0,0.01609657947686117,0.026156941649899398,0.07042253521126761,0.17706237424547283,0.3118712273641851,0.3983903420523139,A/B
